#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
(Fe79Mn21)80Cu20,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Fe80Co20)0.72Si19.2B4.8Nb4,642.0,642.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Fe83Ga17)97.25Cr2B0.75,,,,,,973.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe85Co5Cr10)91Zr7B2,320.0,320.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Fe90Co10)80P13C7,,,,,,652.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe90Co10)82P11C7,,,,,,656.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe90Co10)82P6C7B3Si2,684.15,684.15,,,,684.0,,,,,-0.14999999999997726,Tc_sim available in: Nemad,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe90Co10)82P8C7B3,,,,,,614.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe95Co5)80P13C7,,,,,,625.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe9Co1)79Mo8Cu1B12,,,,,,410.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(FeCoNi)4B,,,,,,673.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(FeOOH)8(FeOH2PO4),,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
"(Ga,Mn)As",180.0,180.0,,,,110.0,,,,,-70.0,Tc_sim available in: Nemad,Tc_exp available in: Nemad,False,True,False,exp-sim
"(Ga,Mn)N",20.0,20.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Ga0.97Nd0.03)(Fe0.97Mn0.03)O3,,,,,,197.3,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ga0.97Nd0.03)(Fe0.98Mn0.02)O3,,,,,,202.1,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ga0.97Nd0.03)(Fe0.99Mn0.01)O3,,,,,,219.1,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
