composition,Tc_sim
Ho3Co,22.0
Ho3Pd2,9.6
Ho3Rh2,23.0
Ho4CdCo,22.0
Ho4MgPt,28.0
Ho57Al25Cu18,22.2
Ho5Pd2,28.0
Ho5Si4,76.0
Ho6FeBi2,54.0
Ho6GaCo2,26.0
Ho6In1.8Ni2.2,18.0
Ho6MnBi2,204.0
HoAl,20.0
HoAl2,30.0
HoAl2Ni,7.8
HoAlAg,18.0
HoAlCo,10.0
HoB2,15.0
HoCo2,78.0
HoCo3,418.0
HoCoC2,11.0
HoCoNi,42.0
HoCu2,10.5
HoCuSi,6.9
HoFe3,565.0
HoFeSi,29.0
HoGa,69.0
HoGaAg,7.2
HoInNi,20.0
HoInPd,23.0
HoInPt,23.5
HoN,18.0
HoNi2,13.0
HoNi2B2C,5.0
HoNi3,66.0
HoNi5,5.0
HoPd,10.0
