composition,Tc_sim
La1Fe10.85Co0.75Si1.4,281.0
La1Fe10.8Co0.8Si1.4,282.5
La1Fe10.944Co0.456Si1.6,253.0
La1Fe10.948Co0.952Si1.1,301.0
La1Fe10.9Co0.7Si1.4,276.0
La1Fe11.186Co0.714Si1.1,274.0
La1Fe11.18Si1.82,200.0
La1Fe11.1Co0.5Si1.4,250.0
La1Fe11.1Co0.8Si1.1,282.0
La1Fe11.2Co0.7Si1.1,274.0
La1Fe11.3Co0.3Si1.4,226.0
La1Fe11.424Co0.476Si1.1,243.0
La1Fe11.44Si1.56,195.0
La1Fe11.4Si1.4Ni0.2,199.0
La1Fe11.4Si1.6,207.0
La1Fe11.57Si1.43,199.5
La1Fe11.5Co0.1Si1.4,207.0
La1Fe11.5Si1.5,194.0
La1Fe11.5Si1.5C0.2,242.4
La1Fe11.5Si1.5C0.4,244.4
La1Fe11.5Si1.5C0.6,265.3
La1Fe11.5Si1.5H1.5,320.0
La1Fe11.6Si1.4,202.0
La1Fe11.7Co0.2Si1.3H1.7,320.0
La1Fe11.7Si1.3,192.0
La1Fe11.7Si1.3B0.03,197.0
La1Fe11.7Si1.3B0.06,194.0
La1Fe11.7Si1.3B0.1,196.0
La1Fe11.7Si1.3B0.2,199.0
La1Fe11.7Si1.3B0.3,201.0
La1Fe11.7Si1.3B0.5,201.0
La1Fe11.7Si1.3N1.3,233.0
La1Fe11Co0.8Si1.2,290.0
La1Fe11Co0.9Si1.1,294.0
La1Mn0.1Fe11.5Si1.4,202.0
La1Mn0.2Fe11.4Si1.4,202.0
La1Mn0.5Co0.5O3,187.5
La1Mn0.5Cr0.5O3,125.0
La1Mn0.5Fe0.5O3,380.0
La1Mn1.5Ni0.5Bi1O6,75.0
La1Mn1.8Fe0.2Ge2,310.0
La1Mn1O3.14,141.0
La1Ti0.15Mn1.85O3,121.0
La1Ti0.1Mn0.9O3,145.3
La2CoPtO6,50.0
La2CuIrO6,54.0
La2Fe14B,530.15
La2MnCoO6,220.0
La2MnCuO6,50.0
La2MnIrO6,130.0
La2MnNiO6,280.0
La3Ni2SbO9,105.0
La5.5Nb4Fe62.7Si8.8B19,500.0
La5Cr4Fe35B6,335.0
La5MnRe3O16,162.0
La6Co13Sn,190.0
LaCo13,1290.0
LaCo5,840.0
LaCo5H4,300.0
LaCrSb3,127.5
LaFe12O19,670.0
LaFe2Cu3(ReO6)2,710.0
LaMn5(NiO6)2,34.0
LaMnGe,420.0
LaZrCl2,121.0
Li0.025La0.958Ti0.1Mn0.9O3,90.0
Li8La18Fe5O39,8.0
Lu(Fe2Ge)2,643.0
Lu2C0.125O2.875,455.0
Lu2Fe17,588.0
Lu2MnNiO6,40.0
Lu2NiIrO6,225.0
Lu3Co7.77Sn4,63.0
LuMn4(CuO4)3,398.0
Na0.05La0.8Mn1O3,260.0
Na0.05Sr0.25La0.7Mn1O3,363.65
Na0.05Sr0.25La0.7Ti0.1Mn0.9O3,155.0
Na0.05Sr0.4Pr0.55Mn1O3,289.0
Na0.15La0.85Mn1O3,333.0
Na0.1La0.8Mn1Ag0.1O3,320.0
Na0.1La0.8Mn1Pb0.1O3,247.0
Na0.25La0.7Mn1Pb0.05O3,334.54
Na0.2Ca0.3La0.5Mn1O3,279.0
Na0.2La0.8Mn0.094Bi0.06O3,310.0
Na0.2La0.8Mn0.97Bi0.03O3,288.5
Na0.2La0.8Mn1O3,330.0
Na0.2Sr0.3Pr0.5Mn1O3,299.0
NaLaFeOsO6,793.0
NaLaFeReO6,517.0
NaLaFeRuO6,541.0
Nd(Al10Cr)2,1.7
Nd(Al10V)2,1.8
Nd(CoB)2,27.0
Nd(Fe2B)6,230.0
Nd(FeP3)4,1.6
Nd(FeSb3)4,16.5
Nd(MnGe)2,214.285714285714
Nd(MnGe)6,417.0
Nd(P3Ru)4,2.0
Nd(Sb3Ru)4,1.2
Nd0.6Mn1Pb0.4O3,156.0
Nd0.7Mn1Pb0.3O3,148.0
Nd0.85Mn1Pb0.15O3,109.0
Nd1Mn2Si1.6Ge0.4,36.0
Nd1Ti1Fe7Co3N1.3,873.15
Nd20Ni42As31,28.0
Nd2Al2Fe15,500.0
Nd2CdPd2,23.7
Nd2Co14B,1007.0
Nd2Co7,600.0
Nd2Cr2.3Fe11.76Co2.94,554.0
Nd2Cr2.7Fe10.01Co4.29,601.0
Nd2Cr2Fe20B,340.0
Nd2Cr3.3Fe6.85Co6.85,619.0
Nd2Cr3.7Fe5.32Co7.98,607.0
Nd2Cr3Fe8.4Co5.6,614.0
Nd2Cr4.3Fe2.54Co10.16,524.0
Nd2Cr4.7Fe1.23Co11.07,436.0
Nd2Cr4Fe3.9Co9.1,577.0
Nd2Fe1.7Co15.3,1160.0
Nd2Fe11.9Co5.1,820.0
Nd2Fe14B,585.65
Nd2Fe15.3Co1.7,550.0
Nd2Fe16.5Si0.5,366.0
Nd2Fe17,330.0
Nd2Fe17C,454.0
Nd2Fe17C3,672.0
Nd2Fe17H1.1,410.0
Nd2Fe17H3.2,509.0
Nd2Fe17H4.8,525.0
Nd2Fe17N2.5,744.0
Nd2Fe17N3,750.0
Nd2Fe23B3,655.0
Nd2Fe5.1Co11.9,1090.0
Nd2Fe8.5Co8.5,980.0
Nd2MnNiO6,191.95499999999998
Nd2V1.4Fe12.6B1,415.15
Nd37Al5Fe58,500.0
Nd3OsO7,75.0
Nd3Te4,38.0
Nd4Co3,202.0
Nd5(FeB3)2,70.0
Nd5Fe17,503.0
Nd5Ge3,52.5
Nd5SiGe2,58.0
Nd6Co2Si3,84.5
Nd7Al7Co6,15.5
Nd7Ni3,14.0
Nd7Pd3,33.0
NdCo2,100.0
NdCo5,910.0
NdCo9Si4,1060.0
NdCu5,15.0
NdFeB,585.0
NdGaRh,9.0
NdInNi,14.5
NdNi5,7.6
NdSiNi4,10.6
NdTiFe11,561.575
NdTiFe11N,740.15
NdYTiFe11,595.0
NdZn14O16,273.0
NdZn15O16,273.0
NdZn7O8,273.0
Pr(CoB)2,16.0
Pr(GeRu)2,18.0
Pr0.5Mn1Pb0.5O3,253.0
Pr0.6Mn1Pb0.4O3,254.0
Pr0.77Mn1Pb0.33O3,167.0
Pr0.8Mn1Pb0.2O3,175.0
Pr0.9Mn1Pb0.1O3,150.0
Pr1.5Nd0.5Fe17,302.0
Pr1.67Sm0.36Fe17,299.0
Pr12Al2FeCu3Ni2,300.0
Pr1Cu1.2Ni3.8,3.6
Pr2Al0.25Fe16.75,299.0
Pr2CrFeO6,562.0
Pr2Fe14B,565.15
Pr2Fe17,288.5
Pr2InNi2,7.5
Pr2InPt2,9.5
Pr2MnCoO6,170.0
Pr2MnFe16,294.0
Pr2MnFeO6,200.0
Pr2MnNiO6,213.0
Pr3RuO7,50.0
Pr3Si4,102.5
Pr3Si5,11.5
Pr3Tl,11.0
Pr5AgSn3,33.5
Pr6Co2Si3,50.0
Pr7Pd3,15.0
PrAg,6.9
PrAl2,33.5
PrCo3,350.0
PrCu6,2.7
PrFeCo2,580.0
PrFeSi2,26.0
PrGa3Pd2,10.9
PrMg2,10.0
PrNi,20.0
PrNi5,7.2
PrNiGe2,15.0
PrRh2,7.9
PrRu2,34.0
PrSi,52.5
